text,label
"交通堵塞，烦躁又愤怒！",2
"同事不配合，工作受阻很恼火！",2
"孩子不听话，教育起来很生气！",2
"被插队了，当场就发火了！",2
"产品质量太差，投诉无门！",2
"被恶意评论，愤怒又无奈！",2
"约定被取消，计划全乱了！",2
"被无理指责，冤枉又气愤！",2
"噪音太大，吵得头疼！",2
"被忽视冷落，感到很不满！",2
"不公平待遇，心里很憋屈！",2
"看到不道德行为，义愤填膺！",2
"插队还理直气壮，真是无语了！",2
"被虚假宣传骗了，忍无可忍！",2
"火车被人占座了素质在哪！",2
"等了两小时客服才接电话！",2
"商家虚假发货欺骗消费者！",2
"被人背后说坏话小人得志！",2
"总是被放鸽子靠谱就这么难？",2
"乱停车的真的没素质！",2
"网络卡顿关键比赛输了！",2
"被强制加班没有加班费！",2
"公共场合大声喧哗没公德心！",2
"总是被拿来和别人比较！",2
"说了多少遍还是记不住！",2
"被敷衍了事态度太恶劣！",2
"承诺不兑现真的很讨厌！",2
"噪音扰民投诉没人管！",2
"被道德绑架心里很不爽！",2
"总是被否定努力白费了！",2
"恶意差评竞争对手太卑鄙！",2
"遇到路怒症差点出事故！",2
"天黑了，一个人走在巷子里好害怕。",3
"那种恐惧感笼罩着我，动弹不得。",3
"我真的很担心会发生不好的事情。",3
"听到奇怪的声音，吓得不敢动。",3
"看恐怖片，吓得睡不着觉。",3
"考试前紧张得手心出汗。",3
"面试压力很大，心里忐忑。",3
"走夜路总感觉有人跟踪。",3
"担心健康问题，焦虑不安。",3
"高空作业，害怕得腿发软。",3
"看到蜘蛛，吓得尖叫起来。",3
"担心孩子安全，时刻紧张。",3
"投资风险大，心里很担忧。",3
"演讲前紧张得心跳加速。",3
"独自在家，总觉得不安。",3
"担心失业，焦虑又恐慌。",3
"看到新闻报道灾难，心里害怕。",3
"深夜加班，环境让人恐惧。",3
"担心亲人健康，忧心忡忡。",3
"未知的结果让我很紧张。",3
"夜深人静听到奇怪的声音。",3
"体检报告有几个指标不正常。",3
"独自在陌生的城市迷路。",3
"听到远处传来的雷声。",3
"看到新闻里发生的意外。",3
"在公司群里被领导点名。",3
"房东突然说要收回房子。",3
"手机快没电又找不到充电宝。",3
"突然收到法院传票。",3
"发现家里门没锁好。",3
"要上台发言却忘词了。",3
"银行卡突然被冻结。",3
"看到社交媒体上的恶意攻击。",3
"深夜独自等电梯的恐惧。",3
"发现账户异常被盗刷。",3
"遇到凶猛的流浪狗。",3
"飞机遇到气流颠簸。",3
"伤口感染情况恶化。",3
"被陌生人一直盯着看。",3
"听说可能要裁员的消息。",3
"哇！这真是一个巨大的惊喜！",4
"竟然发生了这种事，太让人惊讶了。",4
"我完全没料到会是这样的结果。",4
"突然收到礼物，惊喜万分！",4
"意外中奖了，不敢相信！",4
"朋友突然来访，惊喜又开心！",4
"发现隐藏宝藏，震惊不已！",4
"结果完全出乎意料！",4
"没想到会在这里遇到你！",4
"突然被提拔，惊喜又意外！",4
"发现新技能，惊喜又兴奋！",4
"剧情反转，完全没想到！",4
"突然降温，天气变化太快！",4
"发现真相，震惊又意外！",4
"意外收获，惊喜连连！",4
"没想到这么简单就成功了！",4
"突然的好消息，惊喜又感动！",4
"发现新大陆般的新发现！",4
"意外相遇，惊喜又怀念！",4
"结果大反转，震惊全场！",4
"打开成绩单居然是满分！",4
"门口站着的居然是多年未见的老同学！",4
"随手买的彩票居然中了一等奖！",4
"这个电影结局太反转了！",4
"没想到他居然会做这种事！",4
"生日收到这么多礼物太惊喜！",4
"面试官居然是我大学同学！",4
"这个新技术居然这么厉害！",4
"冰可乐居然能炸开可乐罐！",4
"他居然记得十年前的约定！",4
"这个隐藏功能居然这么实用！",4
"考古发现居然这么震撼！",4
"这个魔术揭秘后更神奇了！",4
"他们俩居然是亲兄弟！",4
"这个菜谱居然做出了米其林味道！",4
"这APP居然能实时翻译！",4
"这份文件居然藏着这么大秘密！",4
"他们居然和好了！",4
"这个bug修复后性能翻倍！",4
"这个冷知识居然是真的！",4
"那顿饭的味道简直让我反感。",5
"太恶心了，我再也不想看到这个。",5
"这种味道让人感到厌恶。",5
"看到脏乱的环境，很不舒服。",5
"闻到臭味，恶心想吐。",5
"食物变质了，看着就反感。",5
"看到不文明行为，很厌恶。",5
"听到恶俗言论，反感又鄙视。",5
"看到虫子，恶心又害怕。",5
"被强迫做不喜欢的事，很反感。",5
"看到血腥场面，恶心又恐惧。",5
"闻到烟味，呛得难受。",5
"看到浪费行为，很不满。",5
"吃到奇怪味道，反感又恶心。",5
"看到虚伪的人，厌恶又鄙视。",5
"被无理纠缠，厌烦又反感。",5
"看到污染环境，愤怒又厌恶。",5
"听到噪音，烦躁又反感。",5
"看到欺骗行为，厌恶又愤怒。",5
"被恶意骚扰，反感又生气。",5
"脚踩到狗屎太倒霉了！",5
"这个菜味道怪怪的难以下咽。",5
"看到有人在公共场所乱涂乱画。",5
"地铁里有人吃韭菜盒子味道很大。",5
"闻到刺鼻的化学品味道。",5
"看到不遵守交通规则的行为。",5
"遇到乱翻你东西的室友。",5
"公共马桶圈上的脚印太恶心。",5
"有人在你面前炫耀真的很烦。",5
"看到有人虐待小动物。",5
"饭店厨房卫生状况堪忧。",5
"遇到随手乱扔垃圾的人。",5
"闻到狐臭味赶紧躲开。",5
"看到有人偷拍裙底。",5
"吃到变质的食物想吐。",5
"遇到插队还理直气壮的人。",5
"看到景区被刻字破坏。",5
"闻到公共厕所的味道。",5
"遇到借钱不还还删好友的人。",5
"看到有人在长城上刻字。",5
"今天只是平凡的一天。",6
"我正在看书，感觉很平静。",6
"天气一般，没什么特别的。",6
"正常上班，按部就班。",6
"周末在家休息，很放松。",6
"日常散步，心情平和。",6
"做饭吃饭，普通的生活。",6
"看电视新闻，没什么情绪。",6
"整理房间，平静又有序。",6
"写日记记录日常，很平静。",6
"买菜做饭，日常琐事。",6
"等公交车，普通的等待。",6
"浏览网页，没什么感觉。",6
"喝咖啡休息，平静又舒适。",6
"整理文件，日常工作。",6
"洗衣服打扫，家务日常。",6
"午休时间，平静又放松。",6
"填写表格，普通的工作。",6
"回复邮件，日常沟通。",6
"检查数据，平静又认真。",6
"早餐吃了包子感觉很平常。",6
"按照计划去超市买菜。",6
"下午有个会议要参加。",6
"查了一下天气说是多云。",6
"邮箱收到几封工作邮件。",6
"手机内存需要清理一下。",6
"晚饭打算吃西红柿炒鸡蛋。",6
"这本书看了一半还没看完。",6
"周末打算打扫一下房间。",6
"闹钟定在早上七点。",6
"网上买的生活用品到了。",6
"笔记本需要更新系统。",6
"抽屉里的数据线有点乱。",6
"明天要交一份工作报告。",6
"空调温度设定在26度。",6
"咖啡喝完了要去超市买。",6
"衣柜里的衣服需要整理。",6
"快递预计明天送达。",6
"自行车轮胎需要打气。",6
"阳台上的花需要浇水。",6
